barcode,product_name,ingredients,image_url
6860,Cèdre eau de toilette,"alcohol denat. (SD alcohol 39C), aqua (water), parfum (fragrance), limonene, citral, linalool.",
3474,Euterpflege Spezial,"Aqua, Glycerin, Cetearyl Alcohol, Isopropyl Mristate, Dimethicone, Paraffinum Liquidum, Sodium Cetearyl Sulfate, Alcohol, Hamaelis Virginia Bark/Leaf/Twig Extract, Allantoin, Phenoxyethanol, Bisabolol, Benzoic Acid, Dehydroacetic Acid, Ethylhexylglycerin.",http://en.openbeautyfacts.org/images/products/0003474/front.6.400.jpg
10181033056,Shampooing soin formule à l'huile de noix de coco,"Aqua, Sodium C14-16 Olefin Sulfonate, Glycol Stearate, Cocamidopropyl Betaine, Cocamide DIPA, Sodium Chloride, PEG-120 Methyl Glucose Dioleate, Cocos Nucifera Oil, Hydrolyzed Keratin, Tocopheryl Acetate, Glycerin, Phenoxyethanol, Hydroxypropyl Methylcellulose, Polyquaternium-10, Tetrasodium EDTA, Phosphoric Acid, Methylisothiazolinone, Parfum, Coumarin",http://en.openbeautyfacts.org/images/products/001/018/103/3056/front.5.400.jpg
10181040313,Lotion de massage Anti Vergertures,"Aqua, Theobroma Cacao Extract, Glycerin, Glyceryl Stearate, Petrolatum, Propylene Glycol, Paraffinum Liquidum, Theobroma Cacao Seed Butter, Elaeis Guineensis Oil, Cocos Nucifera Oil, Cetyl Alcohol, Dimethicone, Butyrospermum Parkii Butter, Prunus Amygdalus Dulcis Oil, Tocopheryl Acetate, Centella Asiatica Extract, Hydrolyzed Collagen, Hydrolyzed Elastin, Argania Spinosa Kernel Oil, Acetylarginyltryptophyl Diphenylglycine, Hydroxyethylcellulose, PEG-8 Stearate, Phenoxyethanol, Benzoic Acid, Sorbic Acid, Behentrimonium Methosulfate, Butylene Glycol, Caramel, Parfum, Cellulose, Sodium Acetate, Stearyl Alcohol, Myristyl Alcohol, Benzyl Benzoate, Benzyl Salicylate, Limonene, Hexyl Cinnamal, Butylphenyl Methylpropional, Linalool.",
18787788059,All-One Hemp Rose Pure Castile Soap made with organic oils,"Organic Coconut Oil, Organic Palm Oil, Sodium Hydroxide, Water, Organic Olive Oil, Natural Rose Fragrance, Organic Hemp Oil, Organic Jojoba Oil, Sea Salt, Citric Acid, Tocopherol",http://en.openbeautyfacts.org/images/products/001/878/778/8059/front.3.400.jpg
18787810545,Dr. Bronner's 18-IN-1 Naturseife Eukalyptus,"Aqua, Potassium Cocoate (Verseiftes Kokosöl), Potassium Palm Kernelate (Verseiftes Palmkernöl), Potassium Olivate (Verseiftes Olivenöl), Glycerin, Eucalyptus Globulus Oil (Eukalyptusöl), Potassium Hempate (Verseiftes Hanföl), Potassium Jo­jobate (Verseiftes Jojobaöl), Citric Acid (Zitronensäure), Tocopherol (Vitamin E), Limonene",
18787830338,Dr. Bronner's Bio Körperlotion Patchouli-Limette,"Aqua, Cocos Nucifera Oil (Kokosöl), Simmondsia Chinensis Seed Oil (Jojobaöl), Alcohol, Persea Gratissima Oil (Avocadoöl), Cannabis Sativa Seed Oil (Hanföl), Pogostemon Cablin Leaf Oil (Patchouliöl), Citrus Aurantifolia Oil (Limonenöl), Quillaja Saponaria Wood Extract, Xanthan Gum, Tocopherol (Vitamin E), Limonene, Linalool, Citral, Geraniol, Coumarin",
18787931356,Savon Bio Multi-usage à La Menthe,"DR. BRONNER' S MENTHE POIVRÉE SAVON PUR VÉGÉTAU FABRIQUÉ À BASE D'HUILES BIOLOGIQUES • CERTIFIÉ COMMERCE INGRÉDIENTS.' Sodium Cocoate (Huile de noix de coco saponifiée* t), Sodium Palmate (Huile de palme saponifiée•tò, Glycérine, • Sodium Olivate (Huile d'olive saponifiée* t), Mentha Arvensis Extract (Extrait de menthe des champsiò, Off (Huile de menthe poivrée* t). Cannabis Sativa Seed Oil (Huile de graines de chanvre*), Simmondsia Chinens\s Seed de graines de jojoba 4), Sodium Chloride (Sel de mer), Citric Acid (Acide citrique), Tocophero\s (Vitamine Û ADiii0NE Dans tout ce que nous faisons, soyons • Ingrédients certifiés biologiques t Ingrédients certifiés issus du commerce généreux, justes et aimants envers la À base d'huiles essentielles pures • planète Terre et ses habitants. Car nous NE P Olds MAGIC SOAPS SNOVkS liard to be perfect pilot-provider-builder-trainer-teacher-/over-mate. no half-true SQ, Have cout age and smile, tuy triend. Think and act 10 years a/pead' Do teac\A & enemy t lue Moral ABC that onitos al/ en pain et en liqt'ide: Poivrée. Ros o.",
18787943304,Savon Liquide Bio à La Menthe - Dr Bronner,"Moral ABC's the year 1: f AMILLE DE SAV0NNlERS FABRIQUÉ À BASE D'HUILES CERTIFIÉ COMMERCE Aqua (Eau), Potassium Cocoate (Huile féeff), potassium Olivate (Huile d'olive 4 ;ensisf.rtr?? atraitdementhe des Potassium Hempate (Huile de t'zssiumJc E), Linalool (Linalola) biologiques / 'Ingrédients certl*.: _ essentielles Pares En cas de OR. BRONNER'S",
22796907240,OGX Gravity-Defying & Hydration + O2 Weightless Oil + Lifting Tonic,"Water (Aqua), Isododecane, Glycerin, C12-15 Alkyl Benzoate, Perfluorodecalin, Glycosphingolipids, Rubus Chamaemorus (Cloudberry) Seed Oil, Simmondsia Chinesis (Jojoba) Seed Oil, PEG-75 Shea Butter Glycerides, Polyquaternium-11, Xanthan Gum, Propylene Glycol, Diazolidinyl Urea, Iodopropynyl, Butylcarbamate, Fragrance (Parfum), Blue 1 (CI 42090)",
