code,product_name,ingredients_text,allergens_en,image_url,ingredients_cleaned,nb_ingredients,ewg_status,Product_Score
2000000000953,Meridol,"Fluorure d'amines Olafluor, fluorure d'étain (1400 ppmF)",,,"fluorure damines olafluor, fluorure dtain",2,ALL_FOUND,
20460402,Papier toilette ouaté double épaisseur parfumé nénuphar bleu,100% pure ouate de cellulose.,,,pure ouate de cellulose,1,ALL_FOUND,
3048090040251,Poudre dentaire blanchissante,sodium bicarbonate.,,http://en.openbeautyfacts.org/images/products/304/809/004/0251/front.5.400.jpg,sodium bicarbonate,1,ALL_FOUND,
3182611044028,Savon Le Cube Marseillais,Savon 30% et plus,,,savon et plus,1,ALL_FOUND,
3250392332372,Le Moelleux,100% pure ouate de cellulose.,,,pure ouate de cellulose,1,ALL_FOUND,
3253581171820,Crème mains Karité 20%,Phénoxyéthanol,,,phnoxythanol,1,ALL_FOUND,
3256224069478,Huile de soin douce raffinée,"VITIS VINIFERA SEED OIL, TOCOPHEROL.",,http://en.openbeautyfacts.org/images/products/325/622/406/9478/front.5.400.jpg,"vitis vinifera seed oil, tocopherol",2,ALL_FOUND,1.0
3263855723228,Soin des lèvres,"PARAFFINUM LIQUIDUM, CETYL PALMITATE, OZOKERITE, PARAFFIN, BUTYROSPERMUM PARKII BUTTER, ISOPROPYL MYRISTATE, ETHYLHEXYL METHOXYCINNAMATE, BUTYL METHOXYDIBENZOYLMETHANE, ETHYL VANILLIN, TOCOPHERYL ACETATE, BHT",,http://en.openbeautyfacts.org/images/products/326/385/572/3228/front.5.400.jpg,"paraffinum liquidum, cetyl palmitate, ozokerite, paraffin, butyrospermum parkii butter, isopropyl myristate, ethylhexyl methoxycinnamate, butyl methoxydibenzoylmethane, ethyl vanillin, tocopheryl acetate, bht",11,ALL_FOUND,1.1136363636363635
3263856042311,"Gel nettoyant mains, solution hydroalcoolique",ETHANOL (CAS n°64-17-5) à 69% (m/m).,,,ethanol,1,ALL_FOUND,
3263856042328,Gel nettoyant mains anti bactérien sans rinçage,ETHANOL (CAS n°64-17-5) à 69% (m/m).,,http://en.openbeautyfacts.org/images/products/326/385/604/2328/front.5.400.jpg,ethanol,1,ALL_FOUND,
