ingredient_canonical,Cancer,Allergies,Toxicite_Reproduction,Restrictions_Usage,Final_Score,Danger_Level
LIMONENE,LOW,HIGH,LOW,LOW,7,HIGH
CITRAL,LOW,HIGH,LOW,LOW,7,HIGH
SD ALCOHOL 39C,LOW,LOW,LOW_MODERATE,LOW,3,LOW
FRAGRANCE,LOW,HIGH,LOW,LOW,7,HIGH
GLYCOL STEARATE,LOW,LOW,LOW,LOW,1,LOW
COCAMIDOPROPYL BETAINE,LOW,LOW_MODERATE,LOW,HIGH,5,MODERATE
COCAMIDE DIPA,LOW,LOW,LOW,HIGH,5,MODERATE
HYDROLYZED KERATIN,LOW,LOW,LOW,LOW,1,LOW
GLYCERIN,LOW,LOW,LOW,MODERATE,3,LOW
PHENOXYETHANOL,LOW,LOW,LOW,MODERATE,3,LOW
HYDROXYPROPYL METHYLCELLULOSE,LOW,LOW,LOW,LOW,1,LOW
TETRASODIUM EDTA,LOW,LOW,LOW,LOW,1,LOW
PHOSPHORIC ACID,LOW,LOW,LOW,LOW,1,LOW
METHYLISOTHIAZOLINONE,LOW,HIGH,LOW,HIGH,7,HIGH
COUMARIN,LOW,HIGH,LOW,LOW,7,HIGH
GLYCERYL STEARATE SE,LOW,LOW,LOW,LOW,1,LOW
PETROLATUM,LOW,LOW,LOW,HIGH,5,MODERATE
PROPYLENE GLYCOL,LOW,LOW_MODERATE,LOW,LOW,2,LOW
CETYL ALCOHOL,LOW,LOW,LOW,LOW,1,LOW
DIMETHICONE,LOW,LOW,LOW,MODERATE,3,LOW
HYDROLYZED COLLAGEN,LOW,LOW,LOW,LOW,1,LOW
HYDROLYZED ELASTIN,LOW,LOW,LOW,LOW,1,LOW
HYDROXYETHYLCELLULOSE,LOW,LOW,LOW,LOW,1,LOW
BENZOIC ACID,LOW,LOW,LOW,MODERATE,3,LOW
SORBIC ACID,LOW,MODERATE,LOW,LOW,3,LOW
BEHENTRIMONIUM METHOSULFATE,LOW,LOW_MODERATE,LOW,LOW,2,LOW
BUTYLENE GLYCOL,LOW,LOW,LOW,LOW,1,LOW
CELLULOSE,LOW,LOW,LOW,LOW,1,LOW
SODIUM ACETATE,LOW,LOW,LOW,LOW,1,LOW
STEARYL ALCOHOL,LOW,LOW,LOW,LOW,1,LOW
MYRISTYL ALCOHOL,LOW,LOW,LOW,LOW,1,LOW
BENZYL BENZOATE,LOW,HIGH,LOW,LOW,7,HIGH
BENZYL SALICYLATE,LOW,HIGH,LOW,LOW,7,HIGH
CARAMEL COLOR,LOW,LOW,LOW,LOW,1,LOW
MINERAL OIL,LOW,MODERATE,LOW,LOW,3,LOW
ISODODECANE,LOW,LOW,LOW,LOW,1,LOW
PERFLUORODECALIN,MODERATE,HIGH,HIGH,HIGH,10,HIGH
GLYCOSPHINGOLIPIDS,LOW,LOW,LOW,LOW,1,LOW
XANTHAN GUM,LOW,LOW,LOW,LOW,1,LOW
DIAZOLIDINYL UREA,LOW,HIGH,LOW,LOW,7,HIGH
