ingredient_clean,ingredient_canonical
1,ELIMINATED 
1 methylhydantoin 2 imide,NO 
1 w,A ELIMINER
10,CI 45410 DC RED NO 27 OR 28 LAKE
100 coton,GOSSYPIUM HERBACEUM COTTON
100 pure ouate de cellulose,CELLULOSE
11,POLYSILICONE11
110,FDC YELLOW NO 5 CI 19140 LAKE
110 talc,ALCOHOL ETHOXYLATES C1115 SECONDARY
12,NYLON12
120,CI 77120
12hexanediol,12HEXANEDIOL
13,C1314 ISOPARAFFIN
130,FDC YELLOW NO 5 CI 19140 LAKE
14,FDC YELLOW NO 5 CI 19140 LAKE
140,FDC YELLOW NO 5 CI 19140 LAKE
145,FDC YELLOW NO 5 CI 19140 LAKE
15,CI 15850 DC RED NO 6 OR 7 LAKE
150,PEG150 DISTEARATE
16,FDC RED NO 40 CI 16035
160,FDC YELLOW NO 5 CI 19140 LAKE
17,DC RED NO 33 CI 17200
170,FDC YELLOW NO 5 CI 19140 LAKE
18,PEG PPG18 18 DIMETHICONE
180,FDC YELLOW NO 5 CI 19140 LAKE
185,CI 15850 DC RED NO 6 OR 7 LAKE
19 aquawatereau,QUATERNIUM79 HYDROLYZED WHEAT PROTEIN
190,FDC YELLOW NO 5 CI 19140 LAKE
2,ELIMINATED 
2 hexanediol,12HEXANEDIOL
20,CI 42090 FDC BLUE NO 1 OR DC BLUE NO 4 ALUMINUM LAKE
200,DC RED NO 33 CI 17200
21,CI 45380 DC RED NO 21 OR 22 LAKE
210,CI 42090 FDC BLUE NO 1 OR DC BLUE NO 4 ALUMINUM LAKE
22,CI 45380 DC RED NO 21 OR 22 LAKE
220,CI 42090 FDC BLUE NO 1 OR DC BLUE NO 4 ALUMINUM LAKE
23,PEG23M
230,CI 42090 FDC BLUE NO 1 OR DC BLUE NO 4 ALUMINUM LAKE
235,FDC RED NO 40 CI 16035
24,C2024 OLEFIN
240,FDC YELLOW NO 5 CI 19140 LAKE
250,CI 42090 FDC BLUE NO 1 OR DC BLUE NO 4 ALUMINUM LAKE
255,CI 15850 DC RED NO 6 OR 7 LAKE
260,FDC YELLOW NO 5 CI 19140 LAKE
270,FDC YELLOW NO 5 CI 19140 LAKE
280,CI 42090 FDC BLUE NO 1 OR DC BLUE NO 4 ALUMINUM LAKE
290,FDC YELLOW NO 5 CI 19140 LAKE
2hexanediol,12HEXANEDIOL
30 et plus savon,NO 
300,CI 42090 FDC BLUE NO 1 OR DC BLUE NO 4 ALUMINUM LAKE
310,CI 42090 FDC BLUE NO 1 OR DC BLUE NO 4 ALUMINUM LAKE
320,CI 42090 FDC BLUE NO 1 OR DC BLUE NO 4 ALUMINUM LAKE
